trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-89.63884547684737,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-57.29530447457466,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-196.13633171975184,"{0: 18, 1: 7, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-29.29701005847615,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-177.2980092841395,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,6,-67.77114052212714,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-115.27350293357011,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-117.75343086123776,"{0: 20, 1: 6, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-14.509394512552515,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-236.6594232930864,"{0: 18, 1: 2, 2: 11, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-35.16693074833053,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-179.4850949879057,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,16,5.2633386067246235,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-142.68366977025644,"{0: 27, 1: 0, 2: 3, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-120.2609293672001,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-75.35925045914641,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,4,-100.63069182506682,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,14.152557179993673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,-59.31110857748625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.0}",25,8,29.63185936124179,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-120.8366659816725,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,8.702522771793804,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,14,-31.53758798985102,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,27.631394216555144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,7.098151150392315,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,7,6.94606268869254,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,1,-42.614113079063294,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-5.577775289174644,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.885110886425948,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,10.205503278205311,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
