trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987662997035}",30,2,-116.09102881405063,"{0: 14, 1: 2, 2: 12, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9999950652018582}",30,0,-139.98141279328834,"{0: 13, 1: 6, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999988896715596}",25,0,-64.05293318123444,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999802608561371}",30,0,-126.22070074946363,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999691576447897}",20,0,-97.49388231874674,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999555871089498}",25,0,-152.39035310262483,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999395492821014}",20,7,-20.688703976502904,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9999210442038161}",35,5,-181.59043751947402,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9999000719197535}",35,0,-151.44306459215116,"{0: 22, 1: 2, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998766324816606}",25,0,-21.420647927234732,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9998507259473718}",20,0,-66.87346363170288,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.999822352380809}",20,5,-99.10142601436108,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9997915118519811}",20,0,-139.59496274108022,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.999758204436984}",25,0,-110.2326504903174,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
