trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.14882713005247,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,7,-75.24811332983346,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.631347825603235,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.78887210647042,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.27361208282915,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.14539226071479,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.9333773175528,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.17433538140368,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.96832226181812,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.11803117763216,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.1435103463033,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.7879652154367,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.74069947887335,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.25110190843162,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-106.00500117598537,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.58609218486797,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.703454284072016,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.28065316068974,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.69951017822623,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.60125782059757,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.5112475652563,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-259.42844689591846,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.89999790554094,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-154.17909848456583,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,8,-44.11101402126755,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.27196527355156,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.70730188718066,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.59998914519224,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-206.14254105759625,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
